field,Buiten-Europa (excl. 5 grote herkomst...,Europa (exclusief Nederland),Indonesië,Marokko,Nederlandse Cariben,Suriname,Turkije
01 Onderwijs,0.313688,0.431559,0.020913,0.032319,0.106464,0.070342,0.024715
"02 Vormgeving, kunst, talen en gesch...",0.329709,0.580147,0.018239,0.009120,0.029814,0.015784,0.017187
"03 Journalistiek, gedrag en maatschappij",0.225837,0.720595,0.010281,0.003247,0.018803,0.007778,0.013460
"04 Recht, administratie, handel en za…",0.289762,0.598392,0.019548,0.010393,0.036251,0.026353,0.019301
"05 Wiskunde, natuurwetenschappen",0.371371,0.529254,0.028138,0.005806,0.034614,0.021438,0.009379
06 Informatica,0.319774,0.598305,0.023164,0.005650,0.021469,0.011864,0.019774
"07 Techniek, industrie en bouwkunde",0.477121,0.438499,0.027920,0.004033,0.020785,0.016752,0.014891
"08 Landbouw, diergeneeskunde en -verz...",0.462898,0.461131,0.042403,0.000000,0.022968,0.005300,0.005300
09 Gezondheidszorg en welzijn,0.452620,0.401032,0.011947,0.010046,0.058376,0.047787,0.018192
10 Dienstverlening,0.312500,0.634375,0.025000,0.000000,0.015625,0.000000,0.012500
Onderwijsrichting onbekend,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
