ind_country,cbs_nationality,herkomst_group
AFGHANISTAN,Afghaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
ALBANIA,Albanees,Europa (exclusief Nederland)
ALGERIA,Algerijns,Buiten-Europa (excl. 5 grote herkomstgroepen)
ANDORRA,,
ANGOLA,Angolees,Buiten-Europa (excl. 5 grote herkomstgroepen)
ARGENTINA,Argentijns,Buiten-Europa (excl. 5 grote herkomstgroepen)
ARMENIA,Armeens,Buiten-Europa (excl. 5 grote herkomstgroepen)
AUSTRALIA,Australisch,Buiten-Europa (excl. 5 grote herkomstgroepen)
AUSTRIA,Oostenrijks,Europa (exclusief Nederland)
AZERBAIJAN,Azerbeidzjaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
BAHRAIN,,
BANGLADESH,Bengalees,Buiten-Europa (excl. 5 grote herkomstgroepen)
BELARUS,Wit-Russisch,Europa (exclusief Nederland)
BELGIUM,Belg,Europa (exclusief Nederland)
BENIN,,
BOLIVIA,Boliviaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
BOSNIA AND HERZEGOVINA,Bosnisch,Europa (exclusief Nederland)
BOTSWANA,,
BRAZIL,Braziliaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
BULGARIA,Bulgaars,Europa (exclusief Nederland)
BURKINA FASO,,
BURUNDI,Burundisch,Buiten-Europa (excl. 5 grote herkomstgroepen)
CAMBODIA,,
CAMEROON,Kameroens,Buiten-Europa (excl. 5 grote herkomstgroepen)
CANADA,Canadees,Buiten-Europa (excl. 5 grote herkomstgroepen)
CAPE VERDE,Kaapverdisch,Buiten-Europa (excl. 5 grote herkomstgroepen)
CENTRAL AFRICAN REPUBLIC,,
CHAD,,
CHILE,Chileens,Buiten-Europa (excl. 5 grote herkomstgroepen)
CHINA,Chinees,Buiten-Europa (excl. 5 grote herkomstgroepen)
COLOMBIA,Colombiaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
COMOROS,,
CONGO (BRAZZAVILLE),Congolees,Buiten-Europa (excl. 5 grote herkomstgroepen)
CONGO (DEMOCRATIC REPUBLIC),Congolees,Buiten-Europa (excl. 5 grote herkomstgroepen)
"CONGO, REPUB. DEMOC.",Congolees,Buiten-Europa (excl. 5 grote herkomstgroepen)
COSTA RICA,Costa Ricaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
COTE D'IVOIRE,Ivoriaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
COTE IVOIRE,Ivoriaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
CROATIA,Kroatisch,Europa (exclusief Nederland)
CUBA,Cubaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
CYPRUS,,
CZECH REPUBLIC,Tsjechisch,Europa (exclusief Nederland)
DENMARK,Deens,Europa (exclusief Nederland)
DJIBOUTI,,
DOMINICAN REPUBLIC,Dominicaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
ECUADOR,Ecuadoraans,Buiten-Europa (excl. 5 grote herkomstgroepen)
EGYPT,Egyptisch,Buiten-Europa (excl. 5 grote herkomstgroepen)
EL SALVADOR,Salvadoraans,Buiten-Europa (excl. 5 grote herkomstgroepen)
EQUATORIAL GUINEA,,
ERITREA,Eritrees,Buiten-Europa (excl. 5 grote herkomstgroepen)
ETHIOPIA,Ethiopisch,Buiten-Europa (excl. 5 grote herkomstgroepen)
FINLAND,Fins,Europa (exclusief Nederland)
FORMER YUGOSLAV REPUBLIC OF MACEDONIA,Macedonisch,Europa (exclusief Nederland)
FRANCE,Frans,Europa (exclusief Nederland)
GABON,,
GEORGIA,Georgisch,Buiten-Europa (excl. 5 grote herkomstgroepen)
GERMANY,Duits,Europa (exclusief Nederland)
GHANA,Ghanees,Buiten-Europa (excl. 5 grote herkomstgroepen)
GREECE,Grieks,Europa (exclusief Nederland)
GUATEMALA,,
GUINEA,Guinees,Buiten-Europa (excl. 5 grote herkomstgroepen)
GUINEA BISSAU,Guinees,Buiten-Europa (excl. 5 grote herkomstgroepen)
GUINEA-BISSAU,,
HAITI,Haïtiaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
HONDURAS,,
HONG KONG S.A.R.,Chinees,Buiten-Europa (excl. 5 grote herkomstgroepen)
HUNGARY,Hongaars,Europa (exclusief Nederland)
INDIA,Indiaas,Buiten-Europa (excl. 5 grote herkomstgroepen)
