herkomst_group,year,visa_acceptance_rate
Buiten-Europa (excl. 5 grote herkomstgroepen),2020,0.903696
Buiten-Europa (excl. 5 grote herkomstgroepen),2021,0.866356
Buiten-Europa (excl. 5 grote herkomstgroepen),2022,0.908699
Buiten-Europa (excl. 5 grote herkomstgroepen),2023,0.921669
Buiten-Europa (excl. 5 grote herkomstgroepen),2024,0.919692
Europa (exclusief Nederland),2020,0.940346
Europa (exclusief Nederland),2021,0.962466
Europa (exclusief Nederland),2022,0.907888
Europa (exclusief Nederland),2023,0.928954
Europa (exclusief Nederland),2024,0.921577
Indonesië,2020,0.984538
Indonesië,2021,0.944339
Indonesië,2022,0.974617
Indonesië,2023,0.978703
Indonesië,2024,0.966106
Marokko,2020,0.690700
Marokko,2021,0.898051
Marokko,2022,0.868892
Marokko,2023,0.840153
Marokko,2024,0.745023
Suriname,2020,0.820161
Suriname,2021,0.791118
Suriname,2022,0.795809
Suriname,2023,0.844777
Suriname,2024,0.830690
Turkije,2020,0.883275
Turkije,2021,0.883442
Turkije,2022,0.844317
Turkije,2023,0.808491
Turkije,2024,0.889772
