field,year,Z_field,Z_agg
01 Onderwijs,2020,0.911013,0.933870
01 Onderwijs,2021,0.934067,0.954092
01 Onderwijs,2022,0.891815,0.904387
01 Onderwijs,2023,0.910453,0.923904
01 Onderwijs,2024,0.900961,0.917403
"02 Vormgeving, kunst, talen en gesch...",2020,0.933557,0.933870
"02 Vormgeving, kunst, talen en gesch...",2021,0.954689,0.954092
"02 Vormgeving, kunst, talen en gesch...",2022,0.904765,0.904387
"02 Vormgeving, kunst, talen en gesch...",2023,0.923800,0.923904
"02 Vormgeving, kunst, talen en gesch...",2024,0.917238,0.917403
"03 Journalistiek, gedrag en maatschappij",2020,0.937620,0.933870
"03 Journalistiek, gedrag en maatschappij",2021,0.958769,0.954092
"03 Journalistiek, gedrag en maatschappij",2022,0.906342,0.904387
"03 Journalistiek, gedrag en maatschappij",2023,0.926237,0.923904
"03 Journalistiek, gedrag en maatschappij",2024,0.919922,0.917403
"04 Recht, administratie, handel en za…",2020,0.931445,0.933870
"04 Recht, administratie, handel en za…",2021,0.951984,0.954092
"04 Recht, administratie, handel en za…",2022,0.903019,0.904387
"04 Recht, administratie, handel en za…",2023,0.922287,0.923904
"04 Recht, administratie, handel en za…",2024,0.915681,0.917403
"05 Wiskunde, natuurwetenschappen",2020,0.934761,0.933870
"05 Wiskunde, natuurwetenschappen",2021,0.953546,0.954092
"05 Wiskunde, natuurwetenschappen",2022,0.905619,0.904387
"05 Wiskunde, natuurwetenschappen",2023,0.925503,0.923904
"05 Wiskunde, natuurwetenschappen",2024,0.918178,0.917403
06 Informatica,2020,0.935881,0.933870
06 Informatica,2021,0.955818,0.954092
06 Informatica,2022,0.905973,0.904387
06 Informatica,2023,0.924810,0.923904
06 Informatica,2024,0.919037,0.917403
"07 Techniek, industrie en bouwkunde",2020,0.935096,0.933870
"07 Techniek, industrie en bouwkunde",2021,0.952880,0.954092
"07 Techniek, industrie en bouwkunde",2022,0.905661,0.904387
"07 Techniek, industrie en bouwkunde",2023,0.924626,0.923904
"07 Techniek, industrie en bouwkunde",2024,0.918659,0.917403
"08 Landbouw, diergeneeskunde en -verz...",2020,0.942163,0.933870
"08 Landbouw, diergeneeskunde en -verz...",2021,0.958389,0.954092
"08 Landbouw, diergeneeskunde en -verz...",2022,0.911581,0.904387
"08 Landbouw, diergeneeskunde en -verz...",2023,0.930948,0.923904
"08 Landbouw, diergeneeskunde en -verz...",2024,0.923985,0.917403
09 Gezondheidszorg en welzijn,2020,0.922429,0.933870
09 Gezondheidszorg en welzijn,2021,0.941015,0.954092
09 Gezondheidszorg en welzijn,2022,0.895399,0.904387
09 Gezondheidszorg en welzijn,2023,0.915638,0.923904
09 Gezondheidszorg en welzijn,2024,0.908973,0.917403
10 Dienstverlening,2020,0.940929,0.933870
10 Dienstverlening,2021,0.960321,0.954092
10 Dienstverlening,2022,0.909188,0.904387
10 Dienstverlening,2023,0.928564,0.923904
10 Dienstverlening,2024,0.922642,0.917403
Onderwijsrichting onbekend,2020,0.940346,0.933870
Onderwijsrichting onbekend,2021,0.962466,0.954092
Onderwijsrichting onbekend,2022,0.907888,0.904387
Onderwijsrichting onbekend,2023,0.928954,0.923904
Onderwijsrichting onbekend,2024,0.921577,0.917403
