annual_spend,visit_frequency_month,avg_basket_size,loyalty_years,segment,segment_label
5331.0,6.9,53.2,7.6,1,Premium Loyalist
4659.0,9.2,76.0,7.5,1,Premium Loyalist
1313.0,10.7,20.2,0.3,0,Budget Shopper
3721.0,9.6,40.7,8.5,1,Premium Loyalist
951.0,17.0,20.0,2.2,0,Budget Shopper
1098.0,14.7,17.4,3.6,0,Budget Shopper
8439.0,5.2,82.6,3.8,2,Whale
910.0,8.2,18.9,4.1,0,Budget Shopper
3803.0,12.1,57.3,7.1,1,Premium Loyalist
2104.0,14.8,27.8,3.6,0,Budget Shopper
907.0,18.5,14.4,2.1,0,Budget Shopper
9360.0,9.4,137.5,7.0,2,Whale
1616.0,10.5,16.6,0.6,0,Budget Shopper
1410.0,9.9,19.2,2.8,0,Budget Shopper
1389.0,4.1,32.0,1.2,0,Budget Shopper
1198.0,11.6,29.1,4.8,0,Budget Shopper
4678.0,6.7,58.9,3.3,1,Premium Loyalist
9762.0,7.6,89.6,6.2,2,Whale
4257.0,8.4,42.8,0.1,1,Premium Loyalist
7557.0,6.3,67.4,5.6,2,Whale
1067.0,13.8,33.5,1.2,0,Budget Shopper
851.0,17.6,36.1,2.4,0,Budget Shopper
11218.0,7.4,128.3,10.1,2,Whale
3801.0,11.7,47.1,10.5,1,Premium Loyalist
1614.0,12.9,34.0,3.4,0,Budget Shopper
9743.0,4.4,161.3,5.5,2,Whale
950.0,14.7,17.0,1.0,0,Budget Shopper
4578.0,8.9,57.1,8.7,1,Premium Loyalist
4363.0,12.1,59.5,5.3,1,Premium Loyalist
1109.0,16.2,31.3,3.7,0,Budget Shopper
10975.0,5.4,73.3,4.1,2,Whale
4724.0,6.6,51.4,5.7,1,Premium Loyalist
4256.0,16.3,64.6,6.3,1,Premium Loyalist
648.0,21.0,19.7,2.7,0,Budget Shopper
5188.0,10.9,50.0,6.8,1,Premium Loyalist
781.0,10.5,15.4,4.1,0,Budget Shopper
1302.0,10.7,18.4,1.4,0,Budget Shopper
12680.0,5.0,141.4,4.3,2,Whale
1243.0,17.0,15.8,3.3,0,Budget Shopper
1566.0,18.1,27.8,3.0,0,Budget Shopper
7904.0,4.7,104.4,3.7,2,Whale
970.0,18.2,26.5,2.9,0,Budget Shopper
1022.0,11.2,27.3,4.2,0,Budget Shopper
1035.0,22.9,22.7,3.0,0,Budget Shopper
659.0,12.7,15.0,2.7,0,Budget Shopper
11396.0,3.8,114.6,5.8,2,Whale
1026.0,20.6,29.9,1.5,0,Budget Shopper
4599.0,8.6,83.9,6.3,1,Premium Loyalist
917.0,11.7,15.9,3.3,0,Budget Shopper
4335.0,11.2,39.1,7.4,1,Premium Loyalist
1309.0,18.6,29.5,3.8,0,Budget Shopper
7456.0,7.8,145.7,6.5,2,Whale
7916.0,9.4,124.0,4.9,2,Whale
1752.0,15.3,20.6,0.8,0,Budget Shopper
8988.0,7.4,66.5,3.6,2,Whale
1614.0,10.9,20.9,1.9,0,Budget Shopper
4190.0,8.1,36.2,9.6,1,Premium Loyalist
4397.0,7.3,56.3,4.8,1,Premium Loyalist
1500.0,19.0,22.5,2.8,0,Budget Shopper
1507.0,14.2,21.1,2.6,0,Budget Shopper
1220.0,16.0,29.5,2.0,0,Budget Shopper
4827.0,7.7,39.2,6.6,1,Premium Loyalist
4734.0,9.3,28.6,10.3,1,Premium Loyalist
1291.0,16.8,20.0,4.9,0,Budget Shopper
1125.0,9.3,21.2,4.9,0,Budget Shopper
1256.0,15.1,8.8,4.0,0,Budget Shopper
8507.0,4.4,100.6,4.7,2,Whale
4829.0,13.9,35.9,8.0,1,Premium Loyalist
10493.0,6.4,90.3,4.4,2,Whale
1406.0,15.3,19.0,4.1,0,Budget Shopper
6510.0,6.5,143.6,5.5,2,Whale
1360.0,6.3,34.7,3.0,0,Budget Shopper
1299.0,9.4,44.7,3.7,0,Budget Shopper
1009.0,9.7,25.1,3.7,0,Budget Shopper
6108.0,2.5,154.6,7.7,2,Whale
3829.0,9.5,59.5,4.0,1,Premium Loyalist
2877.0,10.6,45.0,2.6,1,Premium Loyalist
12991.0,6.6,171.7,8.0,2,Whale
4321.0,11.5,40.2,8.5,1,Premium Loyalist
4021.0,7.3,47.6,3.5,1,Premium Loyalist
1103.0,10.9,11.8,1.9,0,Budget Shopper
1306.0,16.1,27.4,1.6,0,Budget Shopper
4777.0,1.9,78.0,4.2,1,Premium Loyalist
6546.0,8.1,67.1,3.5,1,Premium Loyalist
4324.0,10.0,46.7,9.9,1,Premium Loyalist
1076.0,18.4,33.3,0.3,0,Budget Shopper
5866.0,7.9,48.3,8.7,1,Premium Loyalist
11951.0,3.4,79.2,4.8,2,Whale
1111.0,15.8,17.7,2.6,0,Budget Shopper
1080.0,17.2,28.7,4.0,0,Budget Shopper
3605.0,6.8,67.8,11.0,1,Premium Loyalist
9191.0,5.6,128.1,4.1,2,Whale
1178.0,14.3,7.4,2.4,0,Budget Shopper
3606.0,6.6,31.8,3.6,1,Premium Loyalist
4525.0,12.9,53.3,9.3,1,Premium Loyalist
7032.0,7.3,79.7,3.7,2,Whale
9923.0,6.0,121.1,2.2,2,Whale
9546.0,5.9,99.9,4.5,2,Whale
4556.0,5.0,31.4,5.3,1,Premium Loyalist
1298.0,12.4,20.3,4.8,0,Budget Shopper
5250.0,13.2,54.2,5.5,1,Premium Loyalist
1074.0,17.6,27.2,1.5,0,Budget Shopper
2314.0,15.2,22.0,2.4,0,Budget Shopper
1305.0,17.5,35.1,2.0,0,Budget Shopper
1447.0,15.0,25.6,5.2,0,Budget Shopper
1037.0,8.7,22.0,2.3,0,Budget Shopper
1597.0,11.1,24.6,2.0,0,Budget Shopper
1333.0,10.6,27.9,1.6,0,Budget Shopper
10179.0,6.4,92.0,4.5,2,Whale
9764.0,5.8,124.9,5.8,2,Whale
1170.0,14.3,20.8,3.6,0,Budget Shopper
8119.0,5.9,71.6,4.9,2,Whale
3673.0,11.0,44.6,9.1,1,Premium Loyalist
12840.0,5.8,154.4,9.4,2,Whale
5432.0,10.6,59.7,9.6,1,Premium Loyalist
1677.0,14.4,19.9,4.0,0,Budget Shopper
1809.0,16.7,24.3,4.3,0,Budget Shopper
4538.0,10.4,44.7,7.5,1,Premium Loyalist
8624.0,7.4,103.5,5.2,2,Whale
4470.0,14.6,44.3,6.3,1,Premium Loyalist
1700.0,11.0,28.1,1.5,0,Budget Shopper
1385.0,6.8,28.3,3.7,0,Budget Shopper
1331.0,19.0,29.8,4.4,0,Budget Shopper
11175.0,7.7,113.7,1.1,2,Whale
887.0,16.9,13.1,3.5,0,Budget Shopper
3646.0,11.5,73.9,7.1,1,Premium Loyalist
7611.0,6.6,68.4,7.2,2,Whale
10430.0,5.9,75.4,7.1,2,Whale
4720.0,7.2,88.1,5.7,1,Premium Loyalist
3395.0,9.5,51.0,6.0,1,Premium Loyalist
10936.0,7.0,153.5,2.9,2,Whale
1478.0,12.4,15.0,0.8,0,Budget Shopper
4383.0,11.6,50.4,2.0,1,Premium Loyalist
4326.0,9.2,54.7,7.7,1,Premium Loyalist
1264.0,10.1,17.8,0.3,0,Budget Shopper
4028.0,9.5,55.3,7.5,1,Premium Loyalist
5350.0,10.2,61.2,10.4,1,Premium Loyalist
5405.0,10.6,75.8,7.2,1,Premium Loyalist
3550.0,9.2,69.4,6.6,1,Premium Loyalist
9624.0,5.8,64.6,4.0,2,Whale
981.0,17.8,27.6,5.1,0,Budget Shopper
1047.0,17.8,23.1,5.0,0,Budget Shopper
3426.0,7.4,33.3,6.0,1,Premium Loyalist
1178.0,9.1,35.6,3.7,0,Budget Shopper
4808.0,12.6,66.2,4.1,1,Premium Loyalist
4461.0,6.2,46.1,10.0,1,Premium Loyalist
979.0,12.0,17.3,0.7,0,Budget Shopper
1777.0,17.3,12.2,1.9,0,Budget Shopper
4807.0,8.6,45.2,6.8,1,Premium Loyalist
5760.0,3.9,138.1,6.5,2,Whale
1151.0,10.7,20.9,0.9,0,Budget Shopper
7793.0,6.1,80.6,7.3,2,Whale
3385.0,13.2,55.1,5.3,1,Premium Loyalist
1409.0,8.7,7.5,2.6,0,Budget Shopper
1058.0,8.4,27.9,2.4,0,Budget Shopper
5313.0,12.7,36.4,6.7,1,Premium Loyalist
1038.0,17.8,29.1,2.2,0,Budget Shopper
1249.0,10.9,19.9,1.9,0,Budget Shopper
6806.0,9.0,172.2,3.6,2,Whale
8924.0,5.9,82.7,5.7,2,Whale
12132.0,7.3,133.5,3.6,2,Whale
3837.0,7.0,6.0,7.9,1,Premium Loyalist
5830.0,5.6,47.7,8.7,1,Premium Loyalist
3954.0,7.3,58.3,3.6,1,Premium Loyalist
13875.0,5.5,110.9,5.3,2,Whale
1003.0,15.8,15.9,4.4,0,Budget Shopper
11171.0,8.3,78.5,5.8,2,Whale
3866.0,8.9,41.7,5.0,1,Premium Loyalist
515.0,16.9,12.5,0.2,0,Budget Shopper
3604.0,8.7,32.5,5.1,1,Premium Loyalist
1166.0,20.5,31.5,2.4,0,Budget Shopper
1357.0,13.3,12.3,4.6,0,Budget Shopper
1429.0,17.9,20.1,0.5,0,Budget Shopper
1543.0,16.2,39.9,0.6,0,Budget Shopper
1172.0,14.2,28.5,3.9,0,Budget Shopper
6918.0,5.6,208.7,7.1,2,Whale
892.0,15.9,17.9,2.1,0,Budget Shopper
4012.0,11.1,62.0,9.7,1,Premium Loyalist
1291.0,15.8,23.0,1.4,0,Budget Shopper
1544.0,7.5,29.4,2.8,0,Budget Shopper
1355.0,19.4,16.8,5.5,0,Budget Shopper
1347.0,21.2,30.4,3.0,0,Budget Shopper
1057.0,17.4,19.8,2.5,0,Budget Shopper
2773.0,8.4,36.3,3.5,1,Premium Loyalist
1655.0,17.0,41.6,3.9,0,Budget Shopper
3946.0,11.1,53.9,9.1,1,Premium Loyalist
12345.0,3.5,140.3,7.0,2,Whale
3789.0,8.1,44.8,7.9,1,Premium Loyalist
10261.0,8.1,176.2,7.4,2,Whale
5626.0,11.6,41.7,8.0,1,Premium Loyalist
986.0,7.3,29.8,1.6,0,Budget Shopper
1556.0,21.2,16.1,4.8,0,Budget Shopper
8520.0,4.3,128.1,8.2,2,Whale
1864.0,15.2,25.9,0.1,0,Budget Shopper
7246.0,5.0,94.9,6.5,2,Whale
13536.0,2.2,147.7,4.9,2,Whale
10871.0,5.3,108.5,5.2,2,Whale
7778.0,4.2,69.2,3.3,2,Whale
11523.0,4.6,126.4,4.7,2,Whale
8194.0,4.6,84.8,4.5,2,Whale
4561.0,8.4,72.5,11.0,1,Premium Loyalist
4437.0,10.2,43.5,7.2,1,Premium Loyalist
3333.0,17.5,50.5,10.2,1,Premium Loyalist
5406.0,12.0,84.4,8.9,1,Premium Loyalist
2971.0,8.4,46.1,2.7,1,Premium Loyalist
1166.0,15.0,22.3,3.5,0,Budget Shopper
328.0,11.5,31.0,3.3,0,Budget Shopper
1010.0,14.0,18.0,0.3,0,Budget Shopper
6374.0,7.9,102.4,3.4,2,Whale
4108.0,12.5,58.4,9.6,1,Premium Loyalist
4537.0,8.7,37.5,9.9,1,Premium Loyalist
1559.0,14.7,14.4,2.6,0,Budget Shopper
5284.0,9.5,76.5,6.1,1,Premium Loyalist
7822.0,6.1,160.0,6.7,2,Whale
5823.0,11.4,62.0,5.1,1,Premium Loyalist
1002.0,11.6,29.5,2.1,0,Budget Shopper
9499.0,8.9,178.1,2.1,2,Whale
5861.0,6.7,90.3,7.0,1,Premium Loyalist
9640.0,8.4,167.3,4.5,2,Whale
3984.0,13.5,50.9,8.4,1,Premium Loyalist
13170.0,7.7,82.9,5.5,2,Whale
3633.0,10.3,23.7,10.6,1,Premium Loyalist
4107.0,10.5,67.5,6.4,1,Premium Loyalist
1399.0,12.8,28.4,2.2,0,Budget Shopper
1397.0,7.4,18.1,3.0,0,Budget Shopper
6649.0,12.0,52.9,8.4,1,Premium Loyalist
5038.0,11.1,33.3,10.0,1,Premium Loyalist
6653.0,5.9,105.7,7.3,2,Whale
1532.0,14.8,28.4,1.1,0,Budget Shopper
5902.0,8.3,31.7,6.0,1,Premium Loyalist
603.0,13.1,6.5,3.0,0,Budget Shopper
