salary,experience,education,is_manager,hours,department,dept_abbr
58402.0,5.4,High School,0,31.1,Finance,FIN
123501.0,28.9,High School,0,33.4,Finance,FIN
84773.0,7.0,Bachelor,0,42.7,Operations,OPE
84856.0,10.6,High School,1,31.7,Marketing,MAR
109299.0,20.2,Master,0,41.9,Operations,OPE
138412.0,27.8,Master,1,39.6,Marketing,MAR
137892.0,32.1,Bachelor,0,37.6,Engineering,ENG
140951.0,33.7,High School,0,42.2,Finance,FIN
133111.0,29.3,Master,0,34.1,Finance,FIN
90525.0,22.3,High School,0,45.4,Marketing,MAR
85658.0,10.0,Master,0,25.9,Engineering,ENG
97966.0,11.7,High School,1,37.1,Finance,FIN
93066.0,7.8,Master,1,39.2,Engineering,ENG
97492.0,6.7,Master,1,40.8,Finance,FIN
121227.0,27.7,High School,1,31.3,Operations,OPE
45240.0,0.6,High School,0,39.7,Marketing,MAR
106809.0,27.7,High School,0,33.0,Operations,OPE
113975.0,26.6,High School,0,30.2,Finance,FIN
57209.0,5.4,Bachelor,0,36.3,Operations,OPE
96145.0,14.5,Master,0,40.2,Operations,OPE
145119.0,31.8,Master,1,38.0,Operations,OPE
69815.0,8.1,High School,0,35.8,Engineering,ENG
63749.0,4.0,Bachelor,0,38.1,Operations,OPE
67265.0,8.6,Bachelor,0,46.0,Marketing,MAR
121010.0,34.6,High School,0,39.3,Engineering,ENG
54666.0,2.2,Master,0,39.8,Operations,OPE
99008.0,12.6,Bachelor,0,40.2,Marketing,MAR
111241.0,32.2,Bachelor,0,44.0,Finance,FIN
73020.0,8.4,High School,1,41.1,Marketing,MAR
83066.0,7.0,Master,0,35.8,Engineering,ENG
111170.0,20.7,Master,0,46.6,Operations,OPE
129472.0,34.0,Bachelor,0,32.7,Operations,OPE
62505.0,1.2,Master,0,35.1,Engineering,ENG
122670.0,29.0,Master,0,42.6,Operations,OPE
126343.0,34.7,High School,0,45.3,Engineering,ENG
69913.0,2.2,Master,0,39.5,Marketing,MAR
80971.0,2.1,Bachelor,1,42.2,Marketing,MAR
90988.0,11.0,Master,0,38.4,Finance,FIN
68851.0,8.6,Bachelor,0,43.4,Operations,OPE
108451.0,15.0,Master,1,47.2,Operations,OPE
104677.0,19.9,Master,0,44.3,Engineering,ENG
73691.0,4.6,Bachelor,0,32.1,Finance,FIN
76855.0,18.1,High School,0,41.7,Engineering,ENG
117535.0,29.9,Bachelor,0,36.4,Operations,OPE
118223.0,34.8,High School,0,46.6,Operations,OPE
95917.0,8.1,Bachelor,1,39.2,Finance,FIN
82854.0,10.0,Master,0,29.0,Engineering,ENG
117298.0,20.7,High School,1,34.4,Engineering,ENG
59700.0,5.9,Bachelor,0,33.8,Marketing,MAR
123938.0,18.7,Master,0,36.4,Finance,FIN
76035.0,4.3,High School,1,36.1,Marketing,MAR
113881.0,26.4,High School,1,44.9,Engineering,ENG
138001.0,33.0,High School,0,48.0,Finance,FIN
51244.0,10.1,High School,0,38.7,Marketing,MAR
105873.0,28.8,Bachelor,0,31.2,Engineering,ENG
43141.0,5.5,High School,0,35.4,Marketing,MAR
126238.0,32.3,Master,0,43.8,Finance,FIN
106192.0,24.2,Bachelor,1,30.4,Marketing,MAR
133100.0,34.4,Bachelor,1,24.0,Finance,FIN
101487.0,26.1,High School,0,41.1,Engineering,ENG
81525.0,13.0,High School,0,37.5,Marketing,MAR
121586.0,28.7,Bachelor,0,46.3,Operations,OPE
83951.0,8.9,Master,0,30.8,Finance,FIN
92023.0,23.2,High School,0,32.4,Operations,OPE
120864.0,27.3,Master,0,36.0,Operations,OPE
80731.0,4.9,Bachelor,0,39.6,Finance,FIN
70986.0,1.4,Bachelor,1,37.7,Marketing,MAR
132196.0,34.7,High School,0,40.0,Engineering,ENG
98816.0,8.7,Bachelor,1,33.4,Finance,FIN
102505.0,15.8,Master,0,44.7,Finance,FIN
131545.0,28.1,Bachelor,1,42.4,Operations,OPE
107274.0,23.0,High School,0,43.0,Finance,FIN
103276.0,19.1,Master,0,38.5,Finance,FIN
76072.0,8.1,Bachelor,0,31.2,Engineering,ENG
34173.0,3.5,High School,0,31.8,Marketing,MAR
118877.0,23.1,High School,1,26.5,Engineering,ENG
110974.0,21.7,Bachelor,0,36.3,Engineering,ENG
83271.0,9.6,Master,0,41.2,Marketing,MAR
106618.0,23.1,Master,0,41.4,Marketing,MAR
101601.0,2.2,High School,1,48.5,Engineering,ENG
104039.0,27.6,Bachelor,0,42.3,Marketing,MAR
72752.0,9.2,Master,0,41.4,Operations,OPE
112452.0,28.5,Bachelor,0,35.0,Engineering,ENG
118496.0,34.5,Bachelor,0,29.9,Engineering,ENG
82785.0,9.3,Bachelor,0,39.3,Marketing,MAR
137131.0,26.3,High School,1,36.9,Engineering,ENG
91989.0,15.8,High School,1,32.1,Marketing,MAR
110727.0,33.4,High School,0,33.9,Operations,OPE
86568.0,11.9,High School,1,23.7,Marketing,MAR
91398.0,14.8,Bachelor,0,44.6,Operations,OPE
112740.0,31.1,High School,0,29.4,Finance,FIN
128021.0,34.8,Bachelor,0,35.4,Operations,OPE
79953.0,7.4,Bachelor,0,47.5,Engineering,ENG
111463.0,22.5,Bachelor,0,41.0,Finance,FIN
75155.0,3.8,Bachelor,0,39.7,Finance,FIN
156352.0,33.9,Master,1,39.5,Operations,OPE
87995.0,24.9,High School,0,45.5,Engineering,ENG
105597.0,18.3,Bachelor,0,41.1,Engineering,ENG
87527.0,10.0,Master,0,48.1,Engineering,ENG
54601.0,3.5,Bachelor,0,40.7,Marketing,MAR
141420.0,34.9,Bachelor,0,39.4,Operations,OPE
95469.0,24.0,Bachelor,0,39.0,Marketing,MAR
75029.0,6.2,Master,0,38.6,Operations,OPE
89285.0,17.4,High School,0,32.9,Finance,FIN
73541.0,5.7,Bachelor,0,37.3,Engineering,ENG
71560.0,7.2,High School,0,37.1,Engineering,ENG
71652.0,10.4,High School,0,36.6,Marketing,MAR
102226.0,26.3,Master,0,30.6,Operations,OPE
97307.0,18.0,High School,0,34.5,Finance,FIN
106132.0,28.4,Master,0,32.9,Operations,OPE
