salary,years_experience,education,is_manager,hours_per_week,department
58402,5.4,High School,0,31.1,Finance
123501,28.9,High School,0,33.4,Finance
84773,7.0,Bachelor,0,42.7,Operations
84856,10.6,High School,1,31.7,Marketing
109299,20.2,Master,0,41.9,Operations
138412,27.8,Master,1,39.6,Marketing
137892,32.1,Bachelor,0,37.6,Engineering
140951,33.7,High School,0,42.2,Finance
133111,29.3,Master,0,34.1,Finance
90525,22.3,High School,0,45.4,Marketing
85658,10.0,Master,0,25.9,Engineering
97966,11.7,High School,1,37.1,Finance
93066,7.8,Master,1,39.2,Engineering
97492,6.7,Master,1,40.8,Finance
121227,27.7,High School,1,31.3,Operations
45240,0.6,High School,0,39.7,Marketing
106809,27.7,High School,0,33.0,Operations
113975,26.6,High School,0,30.2,Finance
57209,5.4,Bachelor,0,36.3,Operations
96145,14.5,Master,0,40.2,Operations
145119,31.8,Master,1,38.0,Operations
69815,8.1,High School,0,35.8,Engineering
63749,4.0,Bachelor,0,38.1,Operations
67265,8.6,Bachelor,0,46.0,Marketing
121010,34.6,High School,0,39.3,Engineering
54666,2.2,Master,0,39.8,Operations
99008,12.6,Bachelor,0,40.2,Marketing
111241,32.2,Bachelor,0,44.0,Finance
73020,8.4,High School,1,41.1,Marketing
83066,7.0,Master,0,35.8,Engineering
129700,26.9,Bachelor,1,37.2,Engineering
111170,20.7,Master,0,46.6,Operations
129472,34.0,Bachelor,0,32.7,Operations
62505,1.2,Master,0,35.1,Engineering
122670,29.0,Master,0,42.6,Operations
126343,34.7,High School,0,45.3,Engineering
69913,2.2,Master,0,39.5,Marketing
80971,2.1,Bachelor,1,42.2,Marketing
62174,2.4,High School,0,39.3,Engineering
90988,11.0,Master,0,38.4,Finance
68851,8.6,Bachelor,0,43.4,Operations
108451,15.0,Master,1,47.2,Operations
104677,19.9,Master,0,44.3,Engineering
73691,4.6,Bachelor,0,32.1,Finance
76855,18.1,High School,0,41.7,Engineering
117535,29.9,Bachelor,0,36.4,Operations
118223,34.8,High School,0,46.6,Operations
95917,8.1,Bachelor,1,39.2,Finance
82854,10.0,Master,0,29.0,Engineering
117298,20.7,High School,1,34.4,Engineering
59700,5.9,Bachelor,0,33.8,Marketing
123938,18.7,Master,0,36.4,Finance
72077,6.7,Bachelor,0,30.0,Engineering
76035,4.3,High School,1,36.1,Marketing
104303,21.3,High School,1,35.5,Operations
113881,26.4,High School,1,44.9,Engineering
138001,33.0,High School,0,48.0,Finance
51244,10.1,High School,0,38.7,Marketing
