Annual Salary ($),Years Experience,Education Level,Manager? (1=Yes),Hours/Week,Department,Department_Code,Education_Numeric
58402.0,5.4,High School,0,31.1,Finance,FIN:::NCE,1
123501.0,28.9,High School,0,33.4,Finance,FIN:::NCE,1
84773.0,7.0,Bachelor,0,42.7,Operations,OPE:::ONS,2
84856.0,10.6,High School,1,31.7,Marketing,MAR:::ING,1
109299.0,20.2,Master,0,41.9,Operations,OPE:::ONS,3
138412.0,27.8,Master,1,39.6,Marketing,MAR:::ING,3
137892.0,32.1,Bachelor,0,37.6,Engineering,ENG:::ING,2
140951.0,33.7,High School,0,42.2,Finance,FIN:::NCE,1
133111.0,29.3,Master,0,34.1,Finance,FIN:::NCE,3
90525.0,22.3,High School,0,45.4,Marketing,MAR:::ING,1
85658.0,10.0,Master,0,25.9,Engineering,ENG:::ING,3
97966.0,11.7,High School,1,37.1,Finance,FIN:::NCE,1
93066.0,7.8,Master,1,39.2,Engineering,ENG:::ING,3
97492.0,6.7,Master,1,40.8,Finance,FIN:::NCE,3
121227.0,27.7,High School,1,31.3,Operations,OPE:::ONS,1
45240.0,0.6,High School,0,39.7,Marketing,MAR:::ING,1
106809.0,27.7,High School,0,33.0,Operations,OPE:::ONS,1
113975.0,26.6,High School,0,30.2,Finance,FIN:::NCE,1
57209.0,5.4,Bachelor,0,36.3,Operations,OPE:::ONS,2
96145.0,14.5,Master,0,40.2,Operations,OPE:::ONS,3
145119.0,31.8,Master,1,38.0,Operations,OPE:::ONS,3
69815.0,8.1,High School,0,35.8,Engineering,ENG:::ING,1
63749.0,4.0,Bachelor,0,38.1,Operations,OPE:::ONS,2
67265.0,8.6,Bachelor,0,46.0,Marketing,MAR:::ING,2
121010.0,34.6,High School,0,39.3,Engineering,ENG:::ING,1
54666.0,2.2,Master,0,39.8,Operations,OPE:::ONS,3
99008.0,12.6,Bachelor,0,40.2,Marketing,MAR:::ING,2
111241.0,32.2,Bachelor,0,44.0,Finance,FIN:::NCE,2
73020.0,8.4,High School,1,41.1,Marketing,MAR:::ING,1
83066.0,7.0,Master,0,35.8,Engineering,ENG:::ING,3
,26.9,Bachelor,1,37.2,Engineering,ENG:::ING,2
111170.0,20.7,Master,0,46.6,Operations,OPE:::ONS,3
129472.0,34.0,Bachelor,0,32.7,Operations,OPE:::ONS,2
62505.0,1.2,Master,0,35.1,Engineering,ENG:::ING,3
122670.0,29.0,Master,0,42.6,Operations,OPE:::ONS,3
126343.0,34.7,High School,0,45.3,Engineering,ENG:::ING,1
69913.0,2.2,Master,0,39.5,Marketing,MAR:::ING,3
80971.0,2.1,Bachelor,1,42.2,Marketing,MAR:::ING,2
,2.4,High School,0,39.3,Engineering,ENG:::ING,1
90988.0,11.0,Master,0,38.4,Finance,FIN:::NCE,3
68851.0,8.6,Bachelor,0,43.4,Operations,OPE:::ONS,2
108451.0,15.0,Master,1,47.2,Operations,OPE:::ONS,3
104677.0,19.9,Master,0,44.3,Engineering,ENG:::ING,3
73691.0,4.6,Bachelor,0,32.1,Finance,FIN:::NCE,2
76855.0,18.1,High School,0,41.7,Engineering,ENG:::ING,1
117535.0,29.9,Bachelor,0,36.4,Operations,OPE:::ONS,2
118223.0,34.8,High School,0,46.6,Operations,OPE:::ONS,1
95917.0,8.1,Bachelor,1,39.2,Finance,FIN:::NCE,2
82854.0,10.0,Master,0,29.0,Engineering,ENG:::ING,3
117298.0,20.7,High School,1,34.4,Engineering,ENG:::ING,1
59700.0,5.9,Bachelor,0,33.8,Marketing,MAR:::ING,2
123938.0,18.7,Master,0,36.4,Finance,FIN:::NCE,3
,6.7,Bachelor,0,30.0,Engineering,ENG:::ING,2
76035.0,4.3,High School,1,36.1,Marketing,MAR:::ING,1
,21.3,High School,1,35.5,Operations,OPE:::ONS,1
113881.0,26.4,High School,1,44.9,Engineering,ENG:::ING,1
138001.0,33.0,High School,0,48.0,Finance,FIN:::NCE,1
